timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716867450673,2884,University of OverHere - Sonde Page,200,OK,Main Group 1-3,text,true,,22127,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2100&TO=1812&STNM=72440,2879,0,833
1716867450126,4565,University of Wyoming - Sonde Page,200,OK,Main Group 1-5,text,true,,158728,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=700&TO=1512&STNM=93112,4190,0,1379
1716867451250,3478,University of Wyoming - Sonde Page,200,OK,Main Group 1-4,text,true,,116629,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1800&TO=2212&STNM=72672,3100,0,605
1716867451507,3328,University of Wyoming - Sonde Page,200,OK,Main Group 1-2,text,true,,109314,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=800&TO=1612&STNM=26477,2953,0,644
1716867452835,2496,University of Wyoming - Sonde Page,200,OK,Main Group 1-1,text,true,,10104,208,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=800&TO=412&STNM=94866,2496,0,627
1716867458224,2623,University of Frankston - Sonde Page,200,OK,Main Group 1-1,text,true,,9255,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1500&TO=912&STNM=60390,2623,0,639
1716867458693,2693,University of Wyoming - Sonde Page,200,OK,Main Group 1-2,text,true,,13471,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1200&TO=712&STNM=72672,2693,0,637
1716867461428,2431,University of Melbourne - Sonde Page,200,OK,Main Group 1-3,text,true,,10971,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2400&TO=212&STNM=60390,2431,0,609
1716867462485,3014,University of Melbourne - Sonde Page,200,OK,Main Group 1-5,text,true,,1184,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1000&TO=712&STNM=93112,3014,0,634
1716867462681,4094,University of Melbourne - Sonde Page,200,OK,Main Group 1-4,text,true,,21267,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1600&TO=712&STNM=72440,4093,0,637
1716867463812,3090,University of Wyoming - Sonde Page,200,OK,Main Group 1-1,text,true,,7517,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2000&TO=212&STNM=26477,3090,0,643
